;zip_code;water_hardness_dH
333;86643;19.0
334;86655;13.454545454545455
335;86657;18.0
336;86660;18.0
337;86668;7.0
338;86669;12.0
339;86672;18.333333333333332
340;86673;20.25
341;86676;14.0
342;86678;18.0
343;86679;18.5
344;86690;18.0
345;86692;18.333333333333332
346;86695;18.0
347;86701;14.0
348;86706;7.0
349;86707;13.0
350;86720;18.0
351;86732;13.0
352;86733;13.0
353;86754;13.0
354;86807;21.0
355;86825;18.2
356;86830;16.666666666666668
357;86833;18.0
358;86836;15.166666666666666
359;86842;18.0
360;86845;16.0
361;86853;16.0
362;86854;18.0
363;86856;18.0
364;86859;21.0
365;86860;20.0
366;86862;21.0
367;86871;18.0
368;86874;18.0
369;86875;21.0
370;86879;19.0
371;86899;20.5
372;86911;18.0
373;86916;20.0
374;86920;18.0
375;86922;20.0
376;86923;17.0
377;86925;18.0
378;86926;20.0
379;86928;19.0
380;86929;18.5
381;86932;20.2
382;86934;17.0
383;86940;18.0
384;86946;18.2
385;86947;20.0
386;86949;20.0
387;86971;20.0
388;86974;19.0
389;86975;21.0
390;86981;19.0
391;87435;14.666666666666666
392;87437;19.22222222222222
393;87439;19.0
394;87448;19.0
395;87452;17.5
396;87463;19.0
397;87471;17.0
398;87477;21.0
399;87480;16.0
400;87488;19.0
401;87490;19.0
402;87509;21.0
403;87549;21.0
404;87561;19.0
405;87600;19.25
406;87616;21.0
407;87640;21.0
408;87653;18.0
409;87654;18.0
410;87656;18.5
411;87660;18.5
412;87662;20.0
413;87666;19.0
414;87668;19.0
415;87677;19.0
416;87679;19.0
417;87700;18.75
418;87719;18.77777777777778
419;87724;20.0
420;87727;14.75
421;87730;21.0
422;87733;20.0
423;87734;21.0
424;87739;11.0
425;87740;19.666666666666668
426;87746;18.0
427;87749;21.0
428;87751;20.0
429;87752;18.0
430;87755;10.0
431;87757;17.0
432;87758;18.5
433;87760;21.0
434;87761;18.0
435;87766;20.0
436;87769;11.0
437;87770;13.0
438;87772;11.0
439;87775;11.0
440;87776;20.0
441;87779;21.0
442;87781;18.0
443;87784;18.0
444;87785;16.0
445;87789;21.0
446;88131;8.0
447;88145;16.0
448;88161;17.0
449;88167;20.0
450;88171;17.0
451;89231;14.0
452;89233;17.428571428571427
453;89250;20.875
454;89257;14.666666666666666
455;89264;19.923076923076923
456;89269;20.0
457;89275;13.0
458;89278;15.666666666666666
459;89281;17.0
460;89284;20.666666666666668
461;89287;18.0
462;89294;17.0
463;89296;17.0
464;89297;15.0
465;89312;20.25
466;89331;16.0
467;89335;12.0
468;89340;17.0
469;89344;15.0
470;89346;17.0
471;89347;19.0
472;89350;15.0
473;89355;15.0
474;89358;16.0
475;89359;17.0
476;89362;20.0
477;89364;19.333333333333332
478;89365;16.0
479;89367;12.0
480;89423;18.0
481;89429;19.0
482;89437;18.0
483;89438;17.2
484;90403;14.0
485;90408;16.0
486;90411;16.0
487;90425;15.8
488;90427;14.4
489;90429;15.0
490;90431;13.6
491;90449;12.333333333333334
492;90451;15.0
493;90453;13.0
494;90455;16.0
495;90457;9.0
496;90459;12.0
497;90469;13.0
498;90475;9.25
499;90478;12.0
500;90480;13.0
501;90482;13.0
502;90491;14.0
503;90513;17.636363636363637
504;90522;17.0
505;90530;6.5
506;90537;4.0
507;90542;12.25
508;90547;15.571428571428571
509;90552;14.0
510;90556;18.75
511;90562;12.666666666666666
512;90571;14.333333333333334
513;90574;16.333333333333332
514;90579;17.272727272727273
515;90587;15.818181818181818
516;90592;4.0
517;90607;14.0
518;90614;15.0
519;90616;12.75
520;90762;17.0
521;90763;15.0
522;90765;15.125
523;90766;15.0
524;90768;15.571428571428571
525;91052;12.0
526;91054;12.0
527;91056;14.7
528;91058;15.0
529;91077;10.5
530;91080;12.0
531;91083;13.2
532;91090;12.0
533;91093;16.5
534;91094;12.0
535;91096;12.666666666666666
536;91126;16.333333333333332
537;91177;19.0
538;91186;16.0
539;91189;15.818181818181818
540;91207;13.666666666666666
541;91220;19.77777777777778
542;91233;13.0
543;91235;17.5
544;91238;16.0
545;91241;19.0
546;91245;21.0
547;91275;15.0
548;91282;18.666666666666668
549;91284;18.0
550;91301;18.5
551;91320;14.0
552;91322;12.25
553;91325;16.25
554;91330;14.428571428571429
555;91334;12.666666666666666
556;91336;13.0
557;91338;9.0
558;91341;12.0
559;91352;16.571428571428573
560;91353;13.0
561;91355;12.0
562;91361;16.0
563;91413;20.666666666666668
564;91438;16.0
565;91452;18.0
566;91469;17.0
567;91471;15.0
568;91522;20.571428571428573
569;91541;14.0
570;91560;15.0
571;91593;15.0
572;91610;14.0
573;91611;21.0
574;91629;18.6
575;91710;16.0
576;91717;16.0
577;91725;16.0
578;91757;18.0
579;91781;15.0
580;91788;16.0
581;91792;15.0
582;91795;20.0
583;92224;6.166666666666667
584;92245;13.857142857142858
585;92249;10.0
586;92281;19.0
587;92318;14.8
588;92334;18.0
589;92339;20.0
590;92345;20.0
591;92361;14.0
592;92369;14.0
593;92421;5.0
594;92442;7.0
595;92449;7.0
596;92637;3.3333333333333335
597;92648;6.0
598;92655;13.0
599;92690;6.0
600;92711;6.0
601;92718;6.0
602;92720;6.0
603;93047;17.0
604;93049;16.0
605;93051;14.0
606;93055;17.0
607;93057;18.25
608;93059;17.0
609;93073;18.0
610;93077;19.142857142857142
611;93080;16.75
612;93083;18.0
613;93090;20.0
614;93092;18.5
615;93093;17.0
616;93095;16.25
